"Species","AphiaID","isMarine","isBrackish","isFreshwater","isTerrestrial","is_non_marine"
"Torpedo marmorata",271684,TRUE,TRUE,FALSE,FALSE,FALSE
"Buccinum undatum",138878,TRUE,FALSE,FALSE,FALSE,FALSE
"Dreissena polymorpha",181566,FALSE,TRUE,TRUE,FALSE,TRUE
"Gymnothorax unicolor",126301,TRUE,FALSE,FALSE,FALSE,FALSE
"Pteragogus trispilus",835084,TRUE,FALSE,FALSE,FALSE,FALSE
"Knipowitschia caucasica",126899,TRUE,TRUE,TRUE,FALSE,FALSE
"Artemia urmiana",NA,NA,NA,NA,NA,NA
"Lelliottia amnigena",NA,NA,NA,NA,NA,NA
"Eriocheir japonica",444767,TRUE,TRUE,TRUE,FALSE,FALSE
"Proterorhinus semilunaris",1022561,FALSE,TRUE,TRUE,FALSE,TRUE
"Cradoscrupocellaria reptans",738997,TRUE,FALSE,FALSE,FALSE,FALSE
"Ciliata septentrionalis",126449,TRUE,TRUE,FALSE,FALSE,FALSE
"Atherina hepsetus",272028,TRUE,TRUE,TRUE,FALSE,FALSE
"Atherina boyeri",272027,TRUE,TRUE,TRUE,FALSE,FALSE
"Stramonita haemastoma",140417,TRUE,NA,NA,NA,FALSE
"Ischnochiton rissoi",848021,TRUE,FALSE,FALSE,FALSE,FALSE
"Arbacia lixula",124249,TRUE,FALSE,FALSE,FALSE,FALSE
"Hymeniacidon sinapium",165916,TRUE,FALSE,FALSE,FALSE,FALSE
"Diplodus puntazzo",127052,TRUE,TRUE,FALSE,FALSE,FALSE
"Symphodus cinereus",273567,TRUE,TRUE,FALSE,FALSE,FALSE
"Mullus surmuletus",126986,TRUE,FALSE,FALSE,FALSE,FALSE
"Loripes lacteus",140281,TRUE,NA,NA,NA,FALSE
"Symphodus ocellatus",273572,TRUE,FALSE,FALSE,FALSE,FALSE
"Amphibalanus amphitrite",421137,TRUE,NA,NA,NA,FALSE
"Scartella cristata",126782,TRUE,FALSE,FALSE,FALSE,FALSE
"Pagellus acarne",127057,TRUE,FALSE,FALSE,FALSE,FALSE
"Astropecten spinulosus",123878,TRUE,FALSE,FALSE,FALSE,FALSE
"Tursiops truncatus",137111,TRUE,TRUE,NA,FALSE,FALSE
"Brachionus calyciflorus",134980,NA,TRUE,TRUE,NA,FALSE
"Epinephelus marginatus",127036,TRUE,FALSE,FALSE,FALSE,FALSE
"Lagocephalus sceleratus",219954,TRUE,FALSE,FALSE,FALSE,FALSE
"Raja miraletus",105886,TRUE,TRUE,FALSE,FALSE,FALSE
"Astropecten aranciacus",123856,TRUE,FALSE,FALSE,FALSE,FALSE
"Citrobacter meridianamericanus",NA,NA,NA,NA,NA,NA
"Diaphus metopoclampus",126594,TRUE,FALSE,FALSE,FALSE,FALSE
"Rostroraja alba",105896,TRUE,FALSE,FALSE,FALSE,FALSE
"Oshurkovia littoralis",146830,TRUE,FALSE,FALSE,FALSE,FALSE
"Anthias anthias",127031,TRUE,FALSE,FALSE,FALSE,FALSE
"Hemigrapsus penicillatus",107454,TRUE,TRUE,FALSE,FALSE,FALSE
"Anodonta anatina",881461,FALSE,TRUE,TRUE,FALSE,TRUE
"Callopora lineata",111197,TRUE,FALSE,FALSE,FALSE,FALSE
"Amathia tertia",851603,TRUE,FALSE,FALSE,FALSE,FALSE
"Muraena helena",126303,TRUE,FALSE,FALSE,FALSE,FALSE
"Fistularia commersonii",217966,TRUE,FALSE,FALSE,FALSE,FALSE
"Leuciscus aspius",1015724,FALSE,TRUE,TRUE,FALSE,TRUE
"Pegusa lascaris",127156,TRUE,TRUE,FALSE,FALSE,FALSE
"Parupeneus margaritatus",277818,TRUE,FALSE,FALSE,FALSE,FALSE
"Gobiosoma bosc",159767,TRUE,TRUE,FALSE,FALSE,FALSE
"Lampanyctus pusillus",126619,TRUE,FALSE,FALSE,FALSE,FALSE
"Calliostoma zizyphinum",141767,TRUE,FALSE,FALSE,FALSE,FALSE
"Phorcus turbinatus",689179,TRUE,NA,NA,NA,FALSE
"Diaphus rafinesquii",126596,TRUE,FALSE,FALSE,FALSE,FALSE
"Lepidonotus clava",130800,TRUE,FALSE,FALSE,FALSE,FALSE
"Caenis robusta",NA,NA,NA,NA,NA,NA
"Silurus glanis",154677,FALSE,TRUE,TRUE,FALSE,TRUE
"Tinca tinca",154343,FALSE,TRUE,TRUE,FALSE,TRUE
"Osmerus eperlanus",126736,TRUE,TRUE,TRUE,FALSE,FALSE
"Unio tumidus",NA,NA,NA,NA,NA,NA
"Syngnathus rostellatus",127389,TRUE,TRUE,FALSE,FALSE,FALSE
"Chlorophthalmus agassizi",126336,TRUE,TRUE,FALSE,FALSE,FALSE
"Lepidorhombus whiffiagonis",127146,TRUE,FALSE,FALSE,FALSE,FALSE
"Serranus cabrilla",127041,TRUE,FALSE,FALSE,FALSE,FALSE
"Ceratoscopelus maderensis",126585,TRUE,FALSE,FALSE,FALSE,FALSE
"Sipunculus nudus",424084,TRUE,FALSE,FALSE,FALSE,FALSE
"Plagioecia patina",111719,TRUE,FALSE,FALSE,FALSE,FALSE
"Coryphaena hippurus",126846,TRUE,TRUE,FALSE,FALSE,FALSE
"Astropecten bispinosus",123859,TRUE,FALSE,FALSE,FALSE,FALSE
"Pelagia noctiluca",135305,TRUE,NA,FALSE,FALSE,FALSE
"Maja crispata",107348,TRUE,FALSE,FALSE,FALSE,FALSE
"Prionace glauca",105801,TRUE,TRUE,FALSE,FALSE,FALSE
"Conus ventricosus",428401,TRUE,NA,NA,NA,FALSE
"Lithophaga lithophaga",140459,TRUE,NA,NA,NA,FALSE
"Capros aper",127419,TRUE,FALSE,FALSE,FALSE,FALSE
"Holothuria forskali",1670329,TRUE,NA,FALSE,FALSE,FALSE
"Cotylorhiza tuberculata",135297,TRUE,NA,FALSE,FALSE,FALSE
"Felimida luteorosea",597403,TRUE,NA,NA,NA,FALSE
"Trachinotus ovatus",126819,TRUE,TRUE,FALSE,FALSE,FALSE
"Alteromonas ulvae",NA,NA,NA,NA,NA,NA
"Xyrichtys novacula",126971,TRUE,FALSE,FALSE,FALSE,FALSE
"Clinitrachus argentatus",126844,TRUE,FALSE,FALSE,FALSE,FALSE
"Scophthalmus rhombus",127150,TRUE,FALSE,FALSE,FALSE,FALSE
"Acanthochitona fascicularis",138677,TRUE,NA,FALSE,FALSE,FALSE
"Lesueurigobius friesii",126904,TRUE,FALSE,FALSE,FALSE,FALSE
"Tarantinaea lignaria",607879,TRUE,FALSE,FALSE,FALSE,FALSE
"Prionospio dubia",131155,TRUE,FALSE,FALSE,FALSE,FALSE
"Tritia unifasciata",876852,TRUE,NA,NA,NA,FALSE
"Sicydium altum",NA,NA,NA,NA,NA,NA
"Trisopterus esmarkii",126444,TRUE,FALSE,FALSE,FALSE,FALSE
"Oxyurichthys papuensis",126921,TRUE,TRUE,FALSE,FALSE,FALSE
"Caretta caretta",137205,TRUE,NA,NA,NA,FALSE
"Cyclothone braueri",127284,TRUE,FALSE,FALSE,FALSE,FALSE
"Planktomarina temperata",NA,NA,NA,NA,NA,NA
"Arion flagellus",NA,NA,NA,NA,NA,NA
"Flustrellidra hispida",111621,TRUE,FALSE,FALSE,FALSE,FALSE
