"Country","Site","Species","Marker","n_biosamples_positive","total_biosamples_at_site","n_pcr_positive","total_pcr_at_site","theta","p_empirical","mean_p_pcr","confidence_score","total_reads","total_reads_at_site","prop_reads","pcr_distribution","pcr_spread_ratio","Reliable"
"Greece","Greece_1","Lagocephalus sceleratus","12S",2,3,2,9,0.666666666666667,0.222222222222222,0.333333333333333,0.65,761,63421,0.0119991800823071,"2",1,"Marginal"
"Greece","Greece_1","Pterois miles","12S",2,3,3,9,0.666666666666667,0.333333333333333,0.5,0.65,320,63421,0.00504564734078617,"3",1,"Marginal"
"Greece","Greece_1","Amathia verticillata","12S",3,3,5,9,1,0.555555555555556,0.555555555555556,0.9,441,63421,0.00695353274152095,"5",1,"Reliable"
"Greece","Greece_2","Fistularia commersonii","12S",2,3,2,9,0.666666666666667,0.222222222222222,0.333333333333333,0.65,254,107103,0.00237154888285109,"2",1,"Marginal"
"Greece","Greece_4","Bugula neritina","COI",3,3,9,9,1,1,1,1,5179,1477619,0.00350496305204522,"9",1,"Reliable"
"Greece","Greece_4","Hydroides elegans","18S",3,3,9,9,1,1,1,1,13443,1265401,0.0106235098597204,"9",1,"Reliable"
"Greece","Greece_5","Stypopodium schimperi","COI",3,3,9,9,1,1,1,1,7520,638989,0.0117685906956145,"9",1,"Reliable"
"Greece","Greece_6","Stypopodium schimperi","COI",3,3,9,9,1,1,1,1,40037,824110,0.048582106757593,"9",1,"Reliable"
"Greece","Greece_7","Amathia verticillata","12S",3,3,9,9,1,1,1,1,16988,184295,0.0921783010933558,"9",1,"Reliable"
"Greece","Greece_7","Watersipora subtorquata","COI",3,3,8,9,1,0.888888888888889,0.888888888888889,1,5024,1706599,0.00294386671971564,"8",1,"Reliable"
"Greece","Greece_8","Watersipora subtorquata","COI",2,3,4,9,0.666666666666667,0.444444444444444,0.666666666666667,0.65,1313,1376143,0.000954115960332611,"4",1,"Marginal"
"Greece","Greece_8","Amathia verticillata","12S",3,3,5,9,1,0.555555555555556,0.555555555555556,0.9,8379,125110,0.0669730637039405,"5",1,"Reliable"
"Greece","Greece_8","Pterois miles","12S",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,2995,125110,0.0239389337383103,"3",1,"Unreliable"
"Italy","Italy_1","Amathia verticillata","12S",2,3,6,9,0.666666666666667,0.666666666666667,1,0.65,3380,351704,0.00961035416145395,"6",1,"Reliable"
"Italy","Italy_1","Hydroides elegans","18S",3,3,8,8,1,1,1,1,71253,312278,0.228171693170829,"8",1,"Reliable"
"Italy","Italy_2","Hydroides elegans","18S",3,3,7,9,1,0.777777777777778,0.777777777777778,1,3657,693008,0.00527699535936093,"7",1,"Reliable"
"Italy","Italy_2","Amathia verticillata","12S",1,3,1,9,0.333333333333333,0.111111111111111,0.333333333333333,0.1,417,313786,0.00132893118239819,"1",1,"Unreliable"
"Italy","Italy_2","Watersipora subtorquata","COI",1,3,1,9,0.333333333333333,0.111111111111111,0.333333333333333,0.1,251,1346547,0.000186402702616396,"1",1,"Unreliable"
"Italy","Italy_4","Amathia verticillata","12S",3,3,4,9,1,0.444444444444444,0.444444444444444,0.9,481,465248,0.00103385721163766,"4",1,"Marginal"
"Italy","Italy_4","Hydroides elegans","18S",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,1785,725510,0.00246033824482088,"3",1,"Unreliable"
"Netherlands","Netherlands_1","Mulinia lateralis","COI",2,3,4,9,0.666666666666667,0.444444444444444,0.666666666666667,0.65,321,817072,0.000392866234554605,"4",1,"Marginal"
"Netherlands","Netherlands_1","Amphibalanus improvisus","COI",2,3,5,9,0.666666666666667,0.555555555555556,0.833333333333333,0.65,823,817072,0.00100725517457458,"5",1,"Reliable"
"Netherlands","Netherlands_1","Mnemiopsis leidyi","COI",2,3,6,9,0.666666666666667,0.666666666666667,1,0.65,5199,817072,0.00636296434096383,"6",1,"Reliable"
"Netherlands","Netherlands_1","Austrominius modestus","COI",1,3,3,9,0.333333333333333,0.333333333333333,1,0.35,435,817072,0.000532388822527268,"3",1,"Unreliable"
"Netherlands","Netherlands_1","Caprella mutica","12S",1,3,1,9,0.333333333333333,0.111111111111111,0.333333333333333,0.1,21,136082,0.000154318719595538,"1",1,"Unreliable"
"Netherlands","Netherlands_1","Pseudodiaptomus marinus","18S",1,3,2,9,0.333333333333333,0.222222222222222,0.666666666666667,0.25,1024,1144903,0.000894398914143818,"2",1,"Unreliable"
"Netherlands","Netherlands_2","Austrominius modestus","COI",2,3,6,9,0.666666666666667,0.666666666666667,1,0.65,6000,685943,0.00874708248352997,"6",1,"Reliable"
"Netherlands","Netherlands_3","Pseudodiaptomus marinus","18S",2,3,4,9,0.666666666666667,0.444444444444444,0.666666666666667,0.65,1184,830043,0.00142643212460077,"4",1,"Marginal"
